,Frutas,Precio Frutas,Verdura,Precio Verduras,Lacteos,Precio Lacteos,Carne,Precio Carnes,Enlatados ,Precio Enlatados
45,Pera Bartlett,73.9,Camote Anaranjado Importado,99.5,Huevo Blanco,56.0,Molida Selecta 80/20,177.0,Ensalada De Vegetales,15.0
46,Uva Negra Sin Semilla,99.5,Aguacate Criollo,67.2,Huevo Blanco,55.1,Fajita De Centro,158.4,Champiñones En Trocitos,14.9
47,Manzana Fuji,44.8,Ajo Pelado,54.5,Huevo Blanco,43.87,Chambarete Sin Hueso,155.0,Champiñones Rebanados,30.0
48,Higo,82.1,Zanahoria Cambray,22.8,Huevo Blanco,56.12,Bistec De Diezmillo,170.4,Chicharos Con Zanahoria,8.3
49,Kiwi Dorado,69.9,Elote Blanco En Trozos,22.4,Huevo Blanco,33.57,Bistec De Aguayon,198.0,Chicharos,7.15
50,Nectarina,94.0,Tomatoes Cherubs,41.9,Huevo Blanco,72.44,Chambarete Con Hueso,104.9,Chicharos,8.6
51,Tangerina,23.9,Chayote Con Espinas,29.9,Huevo Blanco,73.46,Carne Para Asar,140.0,Ensalada Campesina,8.6
52,Uva Roja Sin Semilla,88.0,Champiñon Blanco,85.9,Huevo Blanco,31.62,Tampiqueña De Filete,454.0,Champiñones En Escabeche,18.9
53,Ciruela Nubiana,97.5,Haba Verde,37.3,Huevo Blanco,23.37,Molida Mixta,125.0,Chicharos Con Zanahorias,13.5
54,Lima,40.3,Ajo Italiano,204.0,Alimento Liquido Uht Almendra 0 Azucar,39.2,Milanesa De Contra,176.6,Chicharos Con Zanahorias,13.65
55,Cereza,507.5,Papa Criolla,25.8,Alimento Liquido Uht Almendra,39.2,Bistec Ranchero,158.0,Corazones De Alcachofa,323.0
56,Granada Roja Extra,129.9,Chalot,164.6,Alimento Liquido Uht Almendra 0 Azucar,39.2,Medallon De Filete,451.0,Granos De Elote Sazonado,13.65
57,Higo Black Mission,89.9,Tomatoes Glorys,41.9,Alimento Liquido Uht Almendra 0 Azucar,36.05,Pulpa Para Estofado,171.0,Cebolla En Vinagre,59.7
58,Calabaza De Castilla,17.9,Chicharo Limpio,97.0,Alimento Liquido Uht Coco 0 Azucar,33.15,Rib Eye,268.0,Granos De Elote Dorado,13.9
59,Lichi,119.4,Pepino Europeo,12.9,Alimento Liquido Uht Coco,39.5,Cuete Entero,174.0,Arroz Con Granos Ancestrales,230.0
60,Guanabana,78.1,Chile Cuaresmeño,9.5,Alimento Liquido Uht Soya Light,30.0,Molida,261.0,Chicharos Con Zanahorias,7.3
61,Coco De Agua,17.9,Camote Blanco Nacional,76.6,Alimento Liquido Uht Almendra,33.6,Milanesa De Bola,276.0,Granos De Elote Dorado,7.5
62,Maracuya,52.2,Chile Manzano,97.0,Alimento Liquido Uht Almendra,39.2,Fajita,276.0,Mole Don Pancho Apinonado 500 Gr,99.0
63,Pera Red De Anjou,89.9,Camote Achicalado,87.0,Alimento Liquido Uht Soya,30.0,Tampiqueña,195.0,Champiñones Rebanados,13.5
64,Limon Real,56.7,Chayote Cambray,37.3,Alimento Liquido Uht Almendra,44.25,Bistec De Aguayon,266.0,Champiñones En Trozos,13.5
65,Manzana Pink Lady,50.7,Chicharo Chino,118.0,Alimento Liquido Uht Almendra,40.35,Deshebrada,251.0,Granos De Elote Sazonado,9.6
66,Platano Morado,26.6,Ajo Shallot,39.8,Alimento Liquido Uht Coco,35.35,Filete,503.0,Ensalada De Verduras Sazonada,13.65
67,Pera Asiatica,79.9,Chile Cristal,111.9,Alimento Liquido Uht Almendra Sin Gluten,12.5,Chambarete Con Hueso,134.0,Ensalada De Legumbres,11.5
68,Zapote Negro,33.3,Elote Blanco,15.7,Alimento Liquido Uht Almendra,40.35,Chambarete Sin Hueso,187.0,Mole Actopan Polvo,53.5
69,Pitahaya,89.0,Xoconoxtle,36.3,Alimento Liquido Uht Almendra,47.0,Cubitos,218.0,Chicharos Con Zanahorias,8.3
70,Platano Tabasco,14.9,Chilacayote,71.6,Alimento Liquido Uht Arroz,40.35,Bistec De Espaldilla,184.0,Cebolla Caramelizada,75.9
